filepath,label
Fake faces/fake_5782.png,fake
Real faces/real_1530.png,real
Fake faces/fake_6591.png,fake
Fake faces/fake_4215.png,fake
Fake faces/fake_8540.png,fake
Real faces/real_218.png,real
Real faces/real_6813.png,real
Real faces/real_5357.png,real
Fake faces/fake_4729.png,fake
Fake faces/fake_6043.png,fake
Real faces/real_1453.png,real
Fake faces/fake_5932.png,fake
Real faces/real_4740.png,real
Real faces/real_2814.png,real
Real faces/real_7886.png,real
Real faces/real_4973.png,real
Real faces/real_1182.png,real
Fake faces/fake_9035.png,fake
Real faces/real_3947.png,real
Real faces/real_3189.png,real
Fake faces/fake_5480.png,fake
Fake faces/fake_826.png,fake
Real faces/real_9623.png,real
Real faces/real_1006.png,real
Real faces/real_2325.png,real
Fake faces/fake_9645.png,fake
Fake faces/fake_523.png,fake
Fake faces/fake_2725.png,fake
Real faces/real_5743.png,real
Fake faces/fake_7680.png,fake
Fake faces/fake_5583.png,fake
Fake faces/fake_257.png,fake
Fake faces/fake_8881.png,fake
Real faces/real_1027.png,real
Real faces/real_4069.png,real
Fake faces/fake_1572.png,fake
Fake faces/fake_5652.png,fake
Real faces/real_6650.png,real
Fake faces/fake_4783.png,fake
Fake faces/fake_2648.png,fake
Real faces/real_4622.png,real
Fake faces/fake_9385.png,fake
Fake faces/fake_6670.png,fake
Fake faces/fake_5046.png,fake
Real faces/real_1962.png,real
Fake faces/fake_874.png,fake
Real faces/real_1599.png,real
Real faces/real_9675.png,real
Fake faces/fake_9952.png,fake
Real faces/real_4333.png,real
Fake faces/fake_7099.png,fake
Real faces/real_6955.png,real
Fake faces/fake_1821.png,fake
Real faces/real_8545.png,real
Fake faces/fake_4974.png,fake
Fake faces/fake_6722.png,fake
Real faces/real_695.png,real
Fake faces/fake_4630.png,fake
Fake faces/fake_6589.png,fake
Fake faces/fake_5521.png,fake
Fake faces/fake_917.png,fake
Real faces/real_9770.png,real
Fake faces/fake_6377.png,fake
Real faces/real_1034.png,real
Fake faces/fake_9842.png,fake
Fake faces/fake_3592.png,fake
Fake faces/fake_9421.png,fake
Fake faces/fake_9979.png,fake
Real faces/real_2127.png,real
Fake faces/fake_7187.png,fake
Real faces/real_5970.png,real
Fake faces/fake_6225.png,fake
Real faces/real_993.png,real
Fake faces/fake_4084.png,fake
Fake faces/fake_5845.png,fake
Fake faces/fake_5945.png,fake
Real faces/real_447.png,real
Fake faces/fake_2277.png,fake
Real faces/real_5453.png,real
Real faces/real_3211.png,real
Real faces/real_5561.png,real
Fake faces/fake_1911.png,fake
Real faces/real_3210.png,real
Fake faces/fake_6813.png,fake
Real faces/real_8966.png,real
Fake faces/fake_2653.png,fake
Fake faces/fake_9649.png,fake
Fake faces/fake_714.png,fake
Real faces/real_3971.png,real
Fake faces/fake_9807.png,fake
Fake faces/fake_544.png,fake
Fake faces/fake_8366.png,fake
Real faces/real_3778.png,real
Fake faces/fake_6079.png,fake
Real faces/real_6352.png,real
Real faces/real_4007.png,real
Real faces/real_3776.png,real
Fake faces/fake_2147.png,fake
Fake faces/fake_5104.png,fake
Fake faces/fake_145.png,fake
Fake faces/fake_183.png,fake
Real faces/real_8426.png,real
Real faces/real_4337.png,real
Real faces/real_8117.png,real
Real faces/real_7763.png,real
Fake faces/fake_5012.png,fake
Fake faces/fake_6651.png,fake
Real faces/real_438.png,real
Fake faces/fake_3533.png,fake
Real faces/real_3269.png,real
Real faces/real_3752.png,real
Real faces/real_9113.png,real
Real faces/real_9440.png,real
Real faces/real_1739.png,real
Real faces/real_606.png,real
Fake faces/fake_2085.png,fake
Fake faces/fake_7998.png,fake
Fake faces/fake_3972.png,fake
Fake faces/fake_1366.png,fake
Fake faces/fake_4683.png,fake
Fake faces/fake_8037.png,fake
Real faces/real_5746.png,real
Fake faces/fake_8584.png,fake
Real faces/real_6270.png,real
Real faces/real_8851.png,real
Fake faces/fake_1408.png,fake
Real faces/real_6600.png,real
Fake faces/fake_8378.png,fake
Fake faces/fake_2189.png,fake
Fake faces/fake_8605.png,fake
Real faces/real_6909.png,real
Real faces/real_738.png,real
Real faces/real_1994.png,real
Real faces/real_119.png,real
Fake faces/fake_5926.png,fake
Fake faces/fake_2609.png,fake
Fake faces/fake_2436.png,fake
Fake faces/fake_1553.png,fake
Real faces/real_7293.png,real
Real faces/real_3405.png,real
Fake faces/fake_9537.png,fake
Fake faces/fake_1466.png,fake
Real faces/real_8626.png,real
Real faces/real_3481.png,real
Fake faces/fake_2818.png,fake
Real faces/real_127.png,real
Fake faces/fake_6426.png,fake
Fake faces/fake_9610.png,fake
Fake faces/fake_4273.png,fake
Fake faces/fake_580.png,fake
Fake faces/fake_285.png,fake
Fake faces/fake_7822.png,fake
Real faces/real_3073.png,real
Real faces/real_2380.png,real
Real faces/real_2483.png,real
Real faces/real_3461.png,real
Fake faces/fake_4231.png,fake
Real faces/real_7458.png,real
Fake faces/fake_4884.png,fake
Real faces/real_6885.png,real
Fake faces/fake_4097.png,fake
Fake faces/fake_1684.png,fake
Fake faces/fake_5970.png,fake
Real faces/real_803.png,real
Real faces/real_474.png,real
Real faces/real_8608.png,real
Real faces/real_6482.png,real
Fake faces/fake_1287.png,fake
Real faces/real_5557.png,real
Fake faces/fake_6948.png,fake
Real faces/real_8891.png,real
Fake faces/fake_7521.png,fake
Real faces/real_4448.png,real
Real faces/real_484.png,real
Fake faces/fake_9422.png,fake
Fake faces/fake_411.png,fake
Fake faces/fake_5900.png,fake
Fake faces/fake_8226.png,fake
Fake faces/fake_132.png,fake
Real faces/real_7920.png,real
Real faces/real_7911.png,real
Real faces/real_2766.png,real
Fake faces/fake_5865.png,fake
Fake faces/fake_3506.png,fake
Fake faces/fake_8688.png,fake
Real faces/real_4037.png,real
Real faces/real_856.png,real
Fake faces/fake_3136.png,fake
Real faces/real_8830.png,real
Real faces/real_8803.png,real
Fake faces/fake_8838.png,fake
Real faces/real_3826.png,real
Fake faces/fake_1127.png,fake
Real faces/real_5995.png,real
Real faces/real_503.png,real
Real faces/real_2959.png,real
Real faces/real_7988.png,real
Real faces/real_9640.png,real
Real faces/real_8109.png,real
Real faces/real_5382.png,real
Fake faces/fake_6951.png,fake
Fake faces/fake_6138.png,fake
Fake faces/fake_2987.png,fake
Fake faces/fake_6435.png,fake
Real faces/real_7725.png,real
Fake faces/fake_7033.png,fake
Real faces/real_8129.png,real
Fake faces/fake_7787.png,fake
Real faces/real_8292.png,real
Fake faces/fake_1321.png,fake
Fake faces/fake_6060.png,fake
Real faces/real_3295.png,real
Real faces/real_8957.png,real
Real faces/real_115.png,real
Real faces/real_5647.png,real
Fake faces/fake_7624.png,fake
Fake faces/fake_5747.png,fake
Real faces/real_7181.png,real
Real faces/real_1710.png,real
Fake faces/fake_4957.png,fake
Real faces/real_5817.png,real
Fake faces/fake_4278.png,fake
Real faces/real_2480.png,real
Fake faces/fake_9250.png,fake
Real faces/real_4032.png,real
Fake faces/fake_6347.png,fake
Fake faces/fake_3530.png,fake
Real faces/real_9514.png,real
Real faces/real_4610.png,real
Real faces/real_5117.png,real
Fake faces/fake_3946.png,fake
Real faces/real_6385.png,real
Fake faces/fake_4139.png,fake
Real faces/real_6271.png,real
Real faces/real_341.png,real
Real faces/real_828.png,real
Fake faces/fake_7529.png,fake
Fake faces/fake_8551.png,fake
Real faces/real_9527.png,real
Fake faces/fake_8836.png,fake
Real faces/real_313.png,real
Fake faces/fake_8697.png,fake
Fake faces/fake_9051.png,fake
Fake faces/fake_7863.png,fake
Fake faces/fake_3070.png,fake
Fake faces/fake_2136.png,fake
Fake faces/fake_1261.png,fake
Real faces/real_4909.png,real
Fake faces/fake_2796.png,fake
Real faces/real_8873.png,real
Fake faces/fake_1285.png,fake
Real faces/real_409.png,real
Real faces/real_3795.png,real
Real faces/real_2703.png,real
Fake faces/fake_9342.png,fake
Real faces/real_4981.png,real
Real faces/real_8582.png,real
Real faces/real_7667.png,real
Fake faces/fake_2517.png,fake
Fake faces/fake_2183.png,fake
Real faces/real_9725.png,real
Fake faces/fake_1153.png,fake
Real faces/real_7499.png,real
Fake faces/fake_2036.png,fake
Real faces/real_7720.png,real
Real faces/real_1905.png,real
Real faces/real_6717.png,real
Real faces/real_2174.png,real
Real faces/real_6769.png,real
Real faces/real_7161.png,real
Real faces/real_6504.png,real
Fake faces/fake_1765.png,fake
Real faces/real_4420.png,real
Real faces/real_1272.png,real
Real faces/real_451.png,real
Real faces/real_3519.png,real
Fake faces/fake_2477.png,fake
Real faces/real_9567.png,real
Real faces/real_247.png,real
Fake faces/fake_2815.png,fake
Real faces/real_1747.png,real
Real faces/real_2085.png,real
Fake faces/fake_7492.png,fake
Fake faces/fake_6351.png,fake
Real faces/real_4974.png,real
Real faces/real_3498.png,real
Fake faces/fake_6442.png,fake
Real faces/real_1084.png,real
Real faces/real_4935.png,real
Real faces/real_6237.png,real
Real faces/real_6734.png,real
Fake faces/fake_7983.png,fake
Fake faces/fake_5249.png,fake
Fake faces/fake_8982.png,fake
Real faces/real_5922.png,real
Fake faces/fake_2268.png,fake
Real faces/real_8948.png,real
Fake faces/fake_450.png,fake
Real faces/real_4149.png,real
Real faces/real_5099.png,real
Real faces/real_9512.png,real
Fake faces/fake_6259.png,fake
Fake faces/fake_2360.png,fake
Fake faces/fake_2037.png,fake
Real faces/real_3335.png,real
Fake faces/fake_2585.png,fake
Fake faces/fake_819.png,fake
Fake faces/fake_6728.png,fake
Real faces/real_9893.png,real
Real faces/real_7650.png,real
Real faces/real_2238.png,real
Fake faces/fake_5204.png,fake
Real faces/real_251.png,real
Real faces/real_8196.png,real
Real faces/real_4706.png,real
Real faces/real_8143.png,real
Real faces/real_2714.png,real
Fake faces/fake_1079.png,fake
Real faces/real_9529.png,real
Fake faces/fake_9341.png,fake
Fake faces/fake_4290.png,fake
Real faces/real_326.png,real
Real faces/real_4980.png,real
Real faces/real_7438.png,real
Real faces/real_6647.png,real
Real faces/real_6258.png,real
Real faces/real_9047.png,real
Real faces/real_3393.png,real
Fake faces/fake_2664.png,fake
Fake faces/fake_414.png,fake
Fake faces/fake_3117.png,fake
Real faces/real_1337.png,real
Real faces/real_3168.png,real
Fake faces/fake_7860.png,fake
Fake faces/fake_814.png,fake
Real faces/real_2393.png,real
Fake faces/fake_915.png,fake
Fake faces/fake_4179.png,fake
Real faces/real_5923.png,real
Fake faces/fake_3297.png,fake
Real faces/real_2743.png,real
Real faces/real_5005.png,real
Fake faces/fake_1716.png,fake
Fake faces/fake_613.png,fake
Fake faces/fake_8643.png,fake
Real faces/real_4119.png,real
Real faces/real_2090.png,real
Real faces/real_7443.png,real
Real faces/real_8731.png,real
Fake faces/fake_5404.png,fake
Real faces/real_5702.png,real
Real faces/real_3800.png,real
Fake faces/fake_8419.png,fake
Real faces/real_2008.png,real
Real faces/real_1493.png,real
Real faces/real_9282.png,real
Real faces/real_7789.png,real
Real faces/real_3848.png,real
Fake faces/fake_4650.png,fake
Fake faces/fake_143.png,fake
Fake faces/fake_1551.png,fake
Fake faces/fake_249.png,fake
Real faces/real_4194.png,real
Real faces/real_1512.png,real
Real faces/real_2748.png,real
Fake faces/fake_1211.png,fake
Real faces/real_3733.png,real
Real faces/real_7654.png,real
Real faces/real_2346.png,real
Real faces/real_2519.png,real
Real faces/real_718.png,real
Real faces/real_139.png,real
Fake faces/fake_2947.png,fake
Fake faces/fake_2762.png,fake
Real faces/real_2444.png,real
Real faces/real_5198.png,real
Real faces/real_1402.png,real
Fake faces/fake_3321.png,fake
Real faces/real_1730.png,real
Real faces/real_9260.png,real
Real faces/real_3721.png,real
Fake faces/fake_2840.png,fake
Fake faces/fake_736.png,fake
Real faces/real_8121.png,real
Real faces/real_9531.png,real
Fake faces/fake_2730.png,fake
Fake faces/fake_1906.png,fake
Fake faces/fake_5283.png,fake
Real faces/real_4074.png,real
Real faces/real_9049.png,real
Real faces/real_6438.png,real
Real faces/real_2267.png,real
Real faces/real_2830.png,real
Fake faces/fake_9495.png,fake
Fake faces/fake_5177.png,fake
Fake faces/fake_7291.png,fake
Real faces/real_8366.png,real
Fake faces/fake_3894.png,fake
Real faces/real_8466.png,real
Real faces/real_2932.png,real
Fake faces/fake_6784.png,fake
Fake faces/fake_3075.png,fake
Fake faces/fake_7950.png,fake
Real faces/real_2946.png,real
Fake faces/fake_2514.png,fake
Fake faces/fake_8292.png,fake
Fake faces/fake_606.png,fake
Real faces/real_9390.png,real
Real faces/real_9293.png,real
Fake faces/fake_2747.png,fake
Real faces/real_6162.png,real
Real faces/real_9758.png,real
Real faces/real_8544.png,real
Real faces/real_2579.png,real
Real faces/real_4387.png,real
Fake faces/fake_8225.png,fake
Fake faces/fake_1149.png,fake
Real faces/real_4832.png,real
Real faces/real_9391.png,real
Real faces/real_6705.png,real
Fake faces/fake_3192.png,fake
Real faces/real_2626.png,real
Real faces/real_9098.png,real
Fake faces/fake_9872.png,fake
Real faces/real_6888.png,real
Fake faces/fake_364.png,fake
Real faces/real_5687.png,real
Real faces/real_4949.png,real
Fake faces/fake_5306.png,fake
Fake faces/fake_8330.png,fake
Fake faces/fake_490.png,fake
Real faces/real_1805.png,real
Fake faces/fake_6811.png,fake
Fake faces/fake_8997.png,fake
Fake faces/fake_3480.png,fake
Real faces/real_8508.png,real
Fake faces/fake_715.png,fake
Real faces/real_8575.png,real
Real faces/real_4877.png,real
Fake faces/fake_9879.png,fake
Real faces/real_1147.png,real
Real faces/real_6076.png,real
Real faces/real_6309.png,real
Real faces/real_6210.png,real
Fake faces/fake_3879.png,fake
Real faces/real_5714.png,real
Fake faces/fake_4992.png,fake
Fake faces/fake_4143.png,fake
Fake faces/fake_6302.png,fake
Real faces/real_424.png,real
Real faces/real_7360.png,real
Fake faces/fake_416.png,fake
Real faces/real_7241.png,real
Fake faces/fake_4703.png,fake
Real faces/real_9995.png,real
Fake faces/fake_4486.png,fake
Real faces/real_2177.png,real
Real faces/real_7051.png,real
Real faces/real_6405.png,real
Real faces/real_5351.png,real
Fake faces/fake_7906.png,fake
Real faces/real_1606.png,real
Real faces/real_3062.png,real
Fake faces/fake_2402.png,fake
Real faces/real_3488.png,real
Real faces/real_4201.png,real
Fake faces/fake_1505.png,fake
Fake faces/fake_2687.png,fake
Fake faces/fake_3598.png,fake
Real faces/real_2805.png,real
Fake faces/fake_7349.png,fake
Fake faces/fake_1689.png,fake
Real faces/real_6248.png,real
Real faces/real_9704.png,real
Real faces/real_6914.png,real
Fake faces/fake_5037.png,fake
Real faces/real_4031.png,real
Real faces/real_4449.png,real
Fake faces/fake_8262.png,fake
Fake faces/fake_1576.png,fake
Real faces/real_3528.png,real
Fake faces/fake_1787.png,fake
Fake faces/fake_4569.png,fake
Fake faces/fake_2682.png,fake
Real faces/real_2319.png,real
Fake faces/fake_7783.png,fake
Real faces/real_8099.png,real
Real faces/real_3509.png,real
Fake faces/fake_8340.png,fake
Real faces/real_8165.png,real
Real faces/real_5394.png,real
Real faces/real_8025.png,real
Real faces/real_4393.png,real
Real faces/real_4590.png,real
Fake faces/fake_3144.png,fake
Real faces/real_1052.png,real
Fake faces/fake_9330.png,fake
Fake faces/fake_3861.png,fake
Real faces/real_2578.png,real
Fake faces/fake_9504.png,fake
Fake faces/fake_882.png,fake
Real faces/real_8352.png,real
Fake faces/fake_2458.png,fake
Fake faces/fake_375.png,fake
Real faces/real_4724.png,real
Fake faces/fake_1918.png,fake
Real faces/real_2232.png,real
Real faces/real_2777.png,real
Fake faces/fake_4131.png,fake
Real faces/real_1290.png,real
Fake faces/fake_5761.png,fake
Real faces/real_2207.png,real
Real faces/real_3449.png,real
Fake faces/fake_4249.png,fake
Real faces/real_9509.png,real
Real faces/real_3035.png,real
Fake faces/fake_3262.png,fake
Fake faces/fake_3817.png,fake
Fake faces/fake_4337.png,fake
Fake faces/fake_9182.png,fake
Real faces/real_2998.png,real
Real faces/real_6759.png,real
Real faces/real_2265.png,real
Real faces/real_7337.png,real
Fake faces/fake_9676.png,fake
Real faces/real_4505.png,real
Fake faces/fake_1426.png,fake
Fake faces/fake_201.png,fake
Real faces/real_6692.png,real
Fake faces/fake_5801.png,fake
Fake faces/fake_5030.png,fake
Real faces/real_3106.png,real
Real faces/real_221.png,real
Fake faces/fake_1356.png,fake
Fake faces/fake_8825.png,fake
Real faces/real_3050.png,real
Real faces/real_4285.png,real
Fake faces/fake_2541.png,fake
Fake faces/fake_7246.png,fake
Real faces/real_210.png,real
Fake faces/fake_1238.png,fake
Real faces/real_1911.png,real
Real faces/real_499.png,real
Real faces/real_4999.png,real
Fake faces/fake_2917.png,fake
Fake faces/fake_2266.png,fake
Real faces/real_8748.png,real
Fake faces/fake_6683.png,fake
Real faces/real_180.png,real
Fake faces/fake_1926.png,fake
Fake faces/fake_6684.png,fake
Fake faces/fake_7000.png,fake
Fake faces/fake_1842.png,fake
Fake faces/fake_8794.png,fake
Real faces/real_7267.png,real
Real faces/real_2420.png,real
Fake faces/fake_4825.png,fake
Fake faces/fake_1202.png,fake
Fake faces/fake_4634.png,fake
Fake faces/fake_5888.png,fake
Real faces/real_466.png,real
Fake faces/fake_4057.png,fake
Real faces/real_59.png,real
Real faces/real_4202.png,real
Fake faces/fake_1076.png,fake
Real faces/real_7484.png,real
Real faces/real_1580.png,real
Real faces/real_7284.png,real
Fake faces/fake_827.png,fake
Fake faces/fake_3233.png,fake
Real faces/real_9393.png,real
Real faces/real_2698.png,real
Real faces/real_4564.png,real
Fake faces/fake_8403.png,fake
Real faces/real_4199.png,real
Fake faces/fake_838.png,fake
Fake faces/fake_5902.png,fake
Real faces/real_7157.png,real
Real faces/real_2973.png,real
Real faces/real_7841.png,real
Fake faces/fake_5766.png,fake
Fake faces/fake_6634.png,fake
Real faces/real_7695.png,real
Real faces/real_5934.png,real
Fake faces/fake_6875.png,fake
Fake faces/fake_2225.png,fake
Real faces/real_5215.png,real
Fake faces/fake_8432.png,fake
Fake faces/fake_8165.png,fake
Fake faces/fake_8365.png,fake
Real faces/real_6626.png,real
Real faces/real_3595.png,real
Fake faces/fake_6085.png,fake
Real faces/real_5272.png,real
Real faces/real_5627.png,real
Fake faces/fake_7010.png,fake
Fake faces/fake_5841.png,fake
Fake faces/fake_9072.png,fake
Fake faces/fake_5751.png,fake
Real faces/real_7324.png,real
Real faces/real_8632.png,real
Fake faces/fake_5108.png,fake
Real faces/real_1297.png,real
Fake faces/fake_9366.png,fake
Fake faces/fake_6248.png,fake
Real faces/real_200.png,real
Real faces/real_1456.png,real
Fake faces/fake_9559.png,fake
Real faces/real_9800.png,real
Real faces/real_8453.png,real
Real faces/real_9651.png,real
Real faces/real_8892.png,real
Fake faces/fake_1544.png,fake
Fake faces/fake_9263.png,fake
Real faces/real_1202.png,real
Fake faces/fake_4967.png,fake
Real faces/real_3643.png,real
Fake faces/fake_9990.png,fake
Fake faces/fake_9723.png,fake
Fake faces/fake_9356.png,fake
Real faces/real_3128.png,real
Real faces/real_4351.png,real
Fake faces/fake_402.png,fake
Fake faces/fake_4878.png,fake
Real faces/real_3011.png,real
Real faces/real_5090.png,real
Fake faces/fake_2107.png,fake
Real faces/real_2621.png,real
Real faces/real_1534.png,real
Fake faces/fake_1178.png,fake
Real faces/real_3836.png,real
Fake faces/fake_2766.png,fake
Fake faces/fake_8520.png,fake
Fake faces/fake_3080.png,fake
Fake faces/fake_4859.png,fake
Real faces/real_8550.png,real
Fake faces/fake_4662.png,fake
Real faces/real_5129.png,real
Fake faces/fake_5008.png,fake
Real faces/real_3352.png,real
Fake faces/fake_6454.png,fake
Fake faces/fake_6758.png,fake
Real faces/real_4903.png,real
Real faces/real_2930.png,real
Real faces/real_1087.png,real
Fake faces/fake_4244.png,fake
Fake faces/fake_7088.png,fake
Real faces/real_4884.png,real
Fake faces/fake_5633.png,fake
Real faces/real_7947.png,real
Fake faces/fake_3823.png,fake
Fake faces/fake_4819.png,fake
Real faces/real_5391.png,real
Real faces/real_7245.png,real
Fake faces/fake_4682.png,fake
Real faces/real_6279.png,real
Real faces/real_5194.png,real
Fake faces/fake_5222.png,fake
Fake faces/fake_2121.png,fake
Fake faces/fake_672.png,fake
Fake faces/fake_2185.png,fake
Real faces/real_1729.png,real
Fake faces/fake_914.png,fake
Fake faces/fake_841.png,fake
Fake faces/fake_6336.png,fake
Real faces/real_3310.png,real
Fake faces/fake_7571.png,fake
Real faces/real_3415.png,real
Real faces/real_5861.png,real
Fake faces/fake_4237.png,fake
Real faces/real_6259.png,real
Real faces/real_9619.png,real
Real faces/real_5863.png,real
Real faces/real_9806.png,real
Real faces/real_5849.png,real
Real faces/real_2754.png,real
Fake faces/fake_6643.png,fake
Fake faces/fake_9192.png,fake
Real faces/real_8035.png,real
Fake faces/fake_3836.png,fake
Fake faces/fake_4027.png,fake
Fake faces/fake_9761.png,fake
Real faces/real_7375.png,real
Fake faces/fake_9709.png,fake
Real faces/real_5998.png,real
Fake faces/fake_7264.png,fake
Fake faces/fake_733.png,fake
Fake faces/fake_732.png,fake
Real faces/real_1282.png,real
Real faces/real_5290.png,real
Fake faces/fake_9784.png,fake
